iter	Logloss
0	0.2435364862
1	0.239777488
2	0.2362766983
3	0.2331020517
4	0.2302197621
5	0.2276649558
6	0.2253064717
7	0.2231551863
8	0.2212872826
9	0.2195603578
10	0.2179358893
11	0.216538969
12	0.2153501897
13	0.2142447378
14	0.2131321658
15	0.2121715539
16	0.2112238882
17	0.2104041523
18	0.2096762002
19	0.2089096719
20	0.2082357674
21	0.2076537074
22	0.2072406085
23	0.2067790885
24	0.2062767016
25	0.2058154116
26	0.2053454545
27	0.2048801978
28	0.2045055824
29	0.2040806413
30	0.2038171875
31	0.2035648789
32	0.2031902368
33	0.2028377685
34	0.2025426293
35	0.2023025222
36	0.2021248986
37	0.201747153
38	0.2016196873
39	0.2013305674
40	0.2011553052
41	0.2008406662
42	0.200609963
43	0.2004335075
44	0.2003052746
45	0.2001232697
46	0.1999671048
47	0.1998007711
48	0.1995822588
49	0.1994301028
50	0.1993142961
51	0.1991073605
52	0.1989351668
53	0.198819686
54	0.198652115
55	0.1985052058
56	0.1982975911
57	0.1981047829
58	0.1979743929
59	0.1978725952
60	0.19773762
61	0.1976012772
62	0.1974972419
63	0.1973779642
64	0.1972258431
65	0.1971187971
66	0.1969204973
67	0.1966981701
68	0.1966133912
69	0.1964922972
70	0.1963469806
71	0.196239713
72	0.196083692
73	0.1959991799
74	0.1959018377
75	0.1957735571
76	0.1956171886
77	0.1954794294
78	0.1953909685
79	0.1952820629
80	0.1950755586
81	0.1949637589
82	0.1948503372
83	0.1947439266
84	0.1946498467
85	0.194528759
86	0.1944147543
87	0.1943223377
88	0.1942903434
89	0.1941270897
90	0.1940386733
91	0.1939564075
92	0.19387918
93	0.1938408761
94	0.1937500236
95	0.1936017309
96	0.1934455068
97	0.1933817446
98	0.1932815593
99	0.1931444191
100	0.1930357608
101	0.192928258
102	0.1928441232
103	0.192759305
104	0.1926475997
105	0.1925154802
106	0.1924259436
107	0.1923446245
108	0.1922788886
109	0.1921676269
110	0.1920654796
111	0.1919538517
112	0.1918444853
