iter	Passed	Remaining
0	7	7886
1	15	7619
2	22	7440
3	29	7302
4	36	7236
5	42	7084
6	50	7165
7	57	7136
8	65	7177
9	72	7207
10	81	7286
11	87	7221
12	94	7205
13	101	7127
14	108	7120
15	115	7097
16	122	7073
17	130	7136
18	137	7104
19	144	7092
20	151	7063
21	158	7045
22	165	7023
23	172	7030
24	179	7012
25	187	7014
26	195	7059
27	204	7090
28	213	7157
29	223	7229
30	231	7227
31	239	7250
32	247	7240
33	255	7253
34	262	7243
35	270	7247
36	278	7250
37	287	7274
38	295	7270
39	304	7298
40	312	7299
41	324	7408
42	333	7412
43	341	7421
44	349	7422
45	358	7425
46	366	7426
47	373	7415
48	381	7404
49	388	7385
50	397	7399
51	405	7393
52	412	7377
53	420	7367
54	427	7350
55	435	7338
56	442	7322
57	450	7309
58	457	7290
59	464	7275
60	471	7254
61	479	7254
62	486	7235
63	494	7229
64	501	7215
65	509	7215
66	517	7207
67	524	7187
68	532	7180
69	539	7163
70	545	7141
71	552	7125
72	559	7108
73	566	7086
74	573	7067
75	580	7052
76	586	7032
77	594	7021
78	602	7027
79	610	7015
80	617	7008
81	624	6994
82	632	6988
83	639	6971
84	647	6970
85	654	6954
86	662	6953
87	669	6940
88	677	6935
89	684	6920
90	692	6916
91	699	6902
92	707	6900
93	714	6890
94	722	6887
95	730	6880
96	737	6866
97	744	6849
98	751	6838
99	758	6829
100	765	6816
101	772	6801
102	779	6784
103	786	6773
104	792	6756
105	799	6743
106	806	6729
107	814	6728
108	823	6731
109	832	6733
110	839	6727
111	847	6720
112	854	6710
113	862	6705
114	870	6699
115	878	6695
116	885	6684
117	893	6677
118	900	6666
119	908	6659
120	914	6646
121	923	6643
122	930	6634
123	938	6630
124	946	6623
125	953	6615
126	960	6602
127	967	6590
128	973	6575
129	980	6562
130	987	6552
131	994	6538
132	1001	6526
133	1007	6511
134	1016	6511
135	1023	6502
136	1031	6494
137	1037	6483
138	1045	6478
139	1052	6468
